Unnamed: 0,Date,User,Tweet,Emotion
19,2019-05-18 11:36:45+00:00,pdquote,"bjps aircraft had been detected by congress led oppositions radar n downed although weather was quite cloudy
rdmaymodifarewellday 
abhoganyay 
rahulgandhi rssurjewala kanhaiyakumar shehlarashid yogendrayadav prakashraaj digvijaya arvindkejriwal incindia",neg
20,2019-05-18 10:54:28+00:00,mrmishra2001,incindia rahulgandhi your party have done good work in opposition no scam was done by modi government in your opposition period good luck for as a opposition party for now and forever pappu bhai raga narendramodi,neg
21,2019-05-18 10:27:17+00:00,madhusudan41,sanjaymarkets throughout loksabhaelections campaign neither rahul gandhi nor the congress even once projected the congress president as prime ministerial candidate the talk of rahul as prime minister came from tamil nadu where dmk supremo mk stalin,neg
22,2019-05-18 10:12:03+00:00,madhusudan41,jayeshchande nonnda regional parties will get  anchor  in form of sonia like jp  or vp singh harkishan singh surjeet    bring egoist temperamental regional satraps gethersonia can order rahul  make sacrifices and accommodate regional partiesloksabhaelections,neg
23,2019-05-18 09:51:34+00:00,madhusudan41,as per a design sonia deliberately kept a low profile during alliance negotiations and loksabhaelections  campaignshe did not want to overshadow rahul or veto his political instincts but once results will out on rd sonia will act swiftly,pos
24,2019-05-18 09:47:54+00:00,rjarpitaa,to muster strategies sonia gandhi has called a meeting of senior congress leaders on may  a day ahead of counting of votes loksabhaelections possibility of roping in new nonnda parties into the upa coaltion to buttress opposition numbers may be discussed sources said,neg
25,2019-05-18 08:59:57+00:00,Sarcastic_SR,"the sense i get from people i talk to is that they are voting for bjp not because they like what bjp has done in last  years
it is more so because they dont want rahulgandhi to become pm i think congress needs to think about it for future election ",neg
26,2019-05-18 08:53:33+00:00,puranik_kaushik,why are the political parties fighting about why godse killed gandhi and was it justifiedits been  years since that incident just leave it and focus on the elections elections bjp congress rahulgandhi narendramodi,neg
27,2019-05-18 08:53:22+00:00,umakantsingh_IN,mutemodi it wrong it  modi for  as he lost  already for that meditation in himalayas but rahul gandhi just still on  loksabhaelections kedarnath,neg
28,2019-05-18 08:35:46+00:00,Utsav6589,"rahulgandhi you dont worry mr gandhi aayega to modi hithen he will give answer okay

delhi abhi dur heabki bar phir modi sarkarloksabhaelections narendramodi",pos
29,2019-05-18 08:18:40+00:00,pkm1999,rupasubramanya narendramodi amitshah rahulgandhi this was not the pm but the caretaker pm  it was a bjp press conference  it had no  of bjp karyakartas  on the dais  obviously the bjp president was the leader of the team   narendramodi is just a prime ministerial candidate  not the pm in the  making elections,neg
30,2019-05-18 08:11:38+00:00,KhushbooTweets,"people like pragya are not only killing his soul but are murdering nonviolence peace tolerance and the soul of india gandhi is above all power and politics says ksatyarthi

pragyasinghthakur pragyathakur loksabhaelections",pos
31,2019-05-18 07:54:48+00:00,johnmathew0308,"rahulgandhi yes as bjp amp rss portrays as the defenders of hindu faith what they have done for the common hindu devotees of this land i forget all their promises of  as a citizen of this land but 
you fox  kurukan clothed as a sheep with fake promises foxmodi narendramodi",neg
32,2019-05-18 07:05:24+00:00,gurvirgureh,"rahulgandhi congress   
bjp        
others      
loksabhaelections",neg
33,2019-05-18 06:57:50+00:00,IkkMundaPunjabi,"congress has been an agrade opposition party this election says rahul gandhi  

we loved your role in  and want to see incindia again play agrade opposition party from 

loksabhaelections
ayegatohmodihi
bjpindia
namoagain",pos
34,2019-05-18 06:48:53+00:00,kulkarni_vaish,"ibnesena rahulgandhilies
rahulgandhi

absolutely right  

be a strong and principled opposition mr rahul gandhi",pos
35,2019-05-18 06:46:49+00:00,kritikasrawat25,rahulgandhi keep saying this nonsense that i have challenged narendramodi for a debateamp he is scared to do itits good modi is ignoring himwe have seen all kind of interviews of rahulgandhihe is that dumb kid who does everything to get attention of popular kid in school,neg
36,2019-05-18 06:44:59+00:00,sandipkale82,andhra pradesh chief minister chandrababu naidu is scheduled to meet with congress president rahul gandhi at  am today ahead of meetings with mayawati and akhilesh yadav tomorrowyadavakhilesh ncbn andhrapradeshcm rahulgandhi naidu rahulgandhi rahulgandhi,pos
37,2019-05-18 06:43:43+00:00,SharonFeb6,tarekfatah rahulgandhi narendramodi if bjp can monitor complete social media tv channels movie industry youtube videos whatsapp clouds digital camera and much more big deal if he send some journalist sadly no bjp amp congress wants to educated india,neg
38,2019-05-18 06:34:12+00:00,ABHINAVsr,is rahul gandhi is real  pappu   is he proved this in all his interview  loksabhaelections rahulgandhi modiinkedarnath apnamodiaayega phirekbaarmodisarkaar,neg
39,2019-05-18 06:28:12+00:00,UdayRajSinghBo1,"my own view is that great men are of great service to their country but they are also at certain times a great hindrance to the progress of the country mr gandhi had become a positive danger to this country

said br ambedkar

copieddna

votenation loksabhaelections",neg
40,2019-05-18 05:26:26+00:00,PeacefulHind,"prime minister shri narendramodi
said he has not forgiven pragya singh thakur by heart

obiovsly its because love amp respect  towards mahatma gandhi 

q if love amp respect is so genuine definitely he should have removed her from fighting election

mutemodi pm modi telegraph",neg
41,2019-05-18 05:23:46+00:00,DBhandari14,"rahulgandhi congratulations to u rahulgandhi u tried to face something called as interview on ur own turf after  phases of elections  next time u wont be in politicsso far till nowu did ok ok

and yes importantly 

aayegatohmodihi narendramodi modi loksabhaelections",pos
42,2019-05-18 05:20:08+00:00,sqharshad,"last phase of election will have greater impact on result main factors
ishwar chand vidyasagar
godse
pragya thakur
mute press conference
eci tantrums
rahul gandhi press interaction
who is benefitting 
generalelections
thphaseloksabhapolls loksabhaelections",pos
43,2019-05-18 05:16:11+00:00,niketaga,no matter how much i support narendramodi in these campaign congress was good and most importantly their manifesto is much better than bjp the only thing goes against congress is top level leadership and gandhi family,pos
44,2019-05-18 05:15:07+00:00,chaloo_pandey,next two days its only modimodi on tv no space for rahul what should rahul do to counter this master strategist duo of modishah maybe get his thailand visit telecast that may probably give more trp to him but still no votes  kedarnath badrinath narendramodi,neg
45,2019-05-18 04:54:37+00:00,imshaurya1308,"who is the best spokesperson of bjpnda
aajtak republic zeenews jaayegatohmodihi narendramodi rahulgandhi loksabhaelections loksabha aamaadmiparty avsurya dhruvrathee akashbanerjee bjp congress modiobsession electionswithndtv electioncommissionofindia",pos
46,2019-05-18 04:38:16+00:00,umakantsingh_IN,mamataofficial yadavakhilesh mayawati arvindkejriwal i hardly care what people in foreign country do ratings but go through before time told i knew modi dividerinchief rahul dividerno  so i went for uniting india united india  govt of united parties govt loksabhaelections kedarnath buddhapurnima omar khayyam,neg
47,2019-05-18 04:37:43+00:00,nileshsingh33,rahulgandhi its not a bjp opinion its all yours pappu narendramodi sadhvipragya,neg
48,2019-05-18 04:34:54+00:00,kumardurgesh262,"rahulgandhi sir i pray to you as a bigbrother and join hands with you that i want to leave the bjp and come to congressplease join us in your party sir loksabhaelection is near by  and i also want to work hard with you in this electioni request you
rahulgandhi ji",pos
49,2019-05-18 03:57:43+00:00,neerajbhushan,countdown to may both narendra modi of bjp and rahul gandhi of congress are upbeat about becoming the prime minister what if theres a dark horse quietly waiting to be sworn in after votes are declared after this loksabhaeelctions,pos
50,2019-05-18 03:07:58+00:00,NewsHtn,andhra pradesh chief minister chandrababu naidu is slated to meet congress president rahul gandhi sp chief akhilesh yadav and bsp supremo mayawati today  loksabhaelections,pos
51,2019-05-18 03:02:47+00:00,Bhar10duSharma,"bjps candidate from kolkata uttar rahul sinha raises burqa issue with ec he alleged that tmc is sending male cadres wearing burqa to caste votes and central women forces should be deployed in such booths to check them
loksabhaelections bengal kolkata",neg
52,2019-05-18 02:42:16+00:00,skshukla01INC,"dickdarryl timesnow navikakumar thenewshour anthonysald tamil kpadmarani riarevealed priyapyadav ranjitone satanicjumlas rkhuria mujworld lawyerkhanmd wuntakall incindia rahulgandhi audaciousquest nattashasharrma haftawasooli sanjukta sanjayazadsln jhasanjay sanjaynirupam luvdatta narendramodi beindiya kilafateh simmiahuja rss bjp and modi etc have no faith in ideology of mahathma gandhi

the entire bjp is campaiginng for pragya thakur and trying to justify that she is icon of indian culture
how can they sack pragya 
modihaitohgodsehai
loksabhaelections
rahulgandhi twitter",neg
53,2019-05-18 02:13:48+00:00,PraveenPhilip81,"harmeekbhamra ndtv you are right only bcos bjp is trying to change the history and lie to the next generation it becomes very important to speak abt it gandhi is the foundation over which this nation stands that needs to be protected 
godse and his ideologies must be put in place period",pos
54,2019-05-18 02:09:28+00:00,yaqootrs,mahatma gandhi could be the father of the nation but of pakistan anil soumitra bjp spokesperson madhya pradesh bjp shameonbjp sickbjp,neg
55,2019-05-18 02:07:36+00:00,sadanandtikare,"rahulgandhi rahulgandhi
having two gods
one modi amp
another godse
both are boost to his political energy
without these he his big a zero
he have no other issues  to blow fire in the media amp social media
godse name itself he capitalised by cingress and fooling this nation",pos
56,2019-05-17 23:56:31+00:00,msjunebug_nivi,you must not lose faith in humanity humanity is an ocean if a few drops of the ocean are dirty the ocean does not become dirty  mahatma gandhi loksabhaelections thebigbangtheory,pos
57,2019-05-17 23:11:23+00:00,Amytisd1,"incindia what was the last word of gandhi 

then why u fear that person the most whom gandhi remembers at the very pinnacle of his pain amp agony

jai shree ram jai jaaai shree rammm mamataofficial
 
bjpbengal
 bjpindia
 
narendramodi modi
deshkasurajmodi
deshkagauravmodi",neg
58,2019-05-17 22:14:53+00:00,TalhaJameel89,"the difference in confidence and overconfidence will be defined on rd may  

election fightforprimeminister modi rahulgandhi bjp congress electiondairies government

narendramodi rahulgandhi incindia bjpindia",pos
59,2019-05-17 20:18:46+00:00,SaiPai9,rahulgandhi sir please send list of your journalist and we will arrange a special press conference after namo is sworn second time bjp,neg
60,2019-05-17 20:06:34+00:00,deepanshah13,"sagarikaghose narendramodi  how is it possible

 why modi or bjp should listen to you people who simply hate them without any reason

 why dont you ask rahulgandhi to remove kamalnath as cm of mp

 why dont you ask a reason for giving bharat ratna to gandhis nehru

indiafirst",neg
61,2019-05-17 19:47:18+00:00,mai_hun_congres,"he divided 
journalists
cricketers
youngsters
college teens
sportsmens
actors actresses
friends
but due to him countries new age boys niwed
who gandhi was 

pressconference
darpokmodi
chowkidarchorhai
dividerincheif 
narendramodi 
modihaitohgodsehai 
incmaharashtra",neg
62,2019-05-17 19:29:30+00:00,Makebharatmahan,"rahulgandhi shame on you if you amp incindia
 dont understand or
 dont want to understand godse
then again there is a resdon you have been nick named pappu bjpindia bjp rss",neg
63,2019-05-17 19:19:21+00:00,hsmujahid,"rahulgandhi really quite appreciative of the way uve strongly faced the media amp raised the core issues india is suffering because of incompetent bjpindia govt

thanks rahul bhaiya
loksabhaelections
rahulgandhiinterview
modihaitohgodsehai
modifloppressconference
truthtopower",pos
64,2019-05-17 18:37:08+00:00,KumarReddyCH,"rahulgandhi bjpindia believes in democracy
the president amitshah ji is supreme of party
pm narendramodi is just a karyakartha of the party n only the president will take questions

bjp is not a dynast party like congress where only family matters amp where democracy has no meaning",pos
65,2019-05-17 18:36:39+00:00,umakantsingh_IN,if mahatma gandhi wouldve been aliveeven  more yearstoday the word terrorismwouldve been not in any language dictionary of the world as emerging world order without gandhi floundered after world war pressconference pressmeet loksabhaelections modionbharat,pos
66,2019-05-17 18:32:47+00:00,pkm1999,kishkindha how about the position of party president sonia gandhi vis a vis the position of dr mms during    rahulgandhi had torn a cabinet decision paper in front of tv cameras do not throw stones at others when you are sitting inside a glass house  modi  rahulgandhi,neg
67,2019-05-17 18:32:13+00:00,Shubham28759999,"modi ji please answer valid important question instead of technique of licking of aam
think for future of india rahulgandhi abnyayhoga chowkidarchorhai chokidaarchorhai modihaitohgodsehai fakegovernment chaluchowkidar rahulgandhi rssurjewala sherryontopp",neg
68,2019-05-17 18:15:51+00:00,deshbhakt_tdb,arnabgoswami should be boycotted by all of us he speaks favourably only towards bjp and their leaders he hates peace in india he hates rahulgandhi like modi arnab cant digest food without taking name of rahul gandhi and congress and abusing them,neg
69,2019-05-17 17:54:49+00:00,DEEPANSHU_1701,"mr rahulgandhi your only priority to defeat bjp
thats mean you dont love our nation india 
so now its cleared you already defeated yourself by the public of india now wait amp watch rd may is near",pos
70,2019-05-17 17:52:11+00:00,sarora88,though assassination of karamchand gandhi was not right but i do not stand in support of his beliefs and deeds and will not ever stand by rahulgandhi and congress aayegatomodihi ,neg
71,2019-05-17 17:43:28+00:00,gandhi_today,incindia congress has changed their dp to my pic to all the retards in the world im no where related to rahulgandhi rahulgandhi nathuramgodse ihateyoubro indianelections narendramodi bjpindia mahatma republic,neg
72,2019-05-17 17:37:04+00:00,destinationsrik,"few things i dislike in narendramodi
 blind gandhi bhakti
 concepts poorly modeled on western icons like the statue of unity
 suppressing his supporters as in pragya singhs case to earn some brownie points
 hypocrisy in observing protocols
 overconfidence",neg
73,2019-05-17 17:26:51+00:00,manonymos,rahulgandhi once famously said poverty is a state of mind narendramodi and bjp mocked him then but looks like modi took this to his heart modi visited several foreign nations in s used digital camera in s but he still talks about being poor in ,neg
74,2019-05-17 17:23:20+00:00,imjassi16,"wts diffrnce btwn rahulgandhi amp narendramodi
wen sampitroda said hua to hua
rahulgandhi in public rally said him to apologise
amp nw wen sadhvipragya says nathuramgodse deshbhakt
modi tells he want forgive her
both jst copycat each othrs
sardesairajdeep abhisarsharma",neg
75,2019-05-17 17:19:05+00:00,Charas_Gaanja,"rahulgandhi chewtiya pappu doesnt even know that their is a diff bw bjp amp govt of india
head of bjp  amit shah
head of govt pm modi

press confrence called by bjp not govt of india

 


loksabhaelections 
rahulkakindustan",neg
76,2019-05-17 17:14:33+00:00,mainbanugaPM420,"fact fact fact  
do you guys know that ambedkar was in favour of godse after killing of gandhi and supported him 

it can be found in the letters of ambedkar 
 modihaitohgodsehai
pressconference 
modionbharat 
bjp
congresoverde",pos
77,2019-05-17 17:10:43+00:00,Mishrankit7,"rahulgandhi maybe but not as impractical as your nyay scheme   exudes desperation
election
rahulgandhi
congress
bjp",neg
78,2019-05-17 17:06:08+00:00,Realaamaadmi13,modi  years started by talking about acche din and vikas and ended with his people defending gandhi killer godhse pressconference loksabhaelections modihaitohgodsehai,pos
79,2019-05-17 17:00:21+00:00,gaur_anubhuti,"big push for opposition unity chandrababu naidu will be meeting rahul gandhi around  am tomorrow 
newshtn 
loksabhaelections",neg
80,2019-05-17 16:59:24+00:00,RajeshMange2,congress will get  seats inc rahulgandhi incindia,neg
81,2019-05-17 16:58:43+00:00,sauravkol86,people will ask narendramodi what he did in last five years and then will vote congress elect rahul gandhi as prime minister and will say hume pata hain ye kuch nahi karega hey ram,pos
82,2019-05-17 16:45:58+00:00,Sally75682464,rampuniyani bdutt godse was a patriot but a foolish one if he was wise he had killed jinnah instead of mahtma gandhi  bjpindia  rssorg  loksabhaelections,neg
83,2019-05-17 16:45:24+00:00,mssamant,"rahulgandhi oh what rhyming rahuljiukg class 
what a swift decision by bjp pragya had to say sorry why cant congress take such swift decisions for worst of words even antinational by so many leaders of yours 

our country needs a strong government which tit bits cant deliver",neg
84,2019-05-17 16:43:36+00:00,SharanRoars,"who do you think are losing marginally or badly or very badly loksabhaelections  phase 
rahulgandhi 
smritiirani 
kanhaiyakumar 
girirajsinghbjp 
congress bjp cpi exitpolls",pos
85,2019-05-17 16:38:13+00:00,StartupGiri,"rahulgandhi you kid 

will you grow up now because im tired of laughing on you rahulgandhi congress

dear loser incindia will you plz remove this kid from president and make new clever president like aajtak people

bjpindia amitshah narendramodi bjp",neg
86,2019-05-17 16:37:52+00:00,SharanRoars,"who do you think are losing marginally or badly or very badly loksabhaelections phase 
rahulgandhi 
shatrugansinha 
kanhaiyakumar 
atishiaap 
bjp congress aap cpi exitpolls",pos
87,2019-05-17 16:28:58+00:00,vikshi1311,the best thing pm narendramodi narendramodi has done is not to debate with rahul gandhi who the hell is rahulgandhi an entitled dynast why sld pm of a country debate with any random person in what capacity does he want to debate he isnt even a leader of opposition,neg
88,2019-05-17 16:11:12+00:00,PrriyaRaj,"unfair complains rahul gandhi to the media in his press meet 
you ask difficult questions to me and the easy ones to modi   

rahulgandhi pressconference 
narendramodi",neg
89,2019-05-17 16:00:26+00:00,jacob3290,"sagarikaghose narendramodi narendramodi has expressed his views on the statement
as a unbiased fair liberal journalist will you dare to ask rahul  why he supports tukdetukdegang gang

aa jati hai mooh uthake ",neg
90,2019-05-17 15:50:33+00:00,batrasurendra,"vibhoranand absolutely right 
india have mother only 
bharat mata 

is mk gandhi husband of  
loksabhaelections",pos
91,2019-05-17 15:45:36+00:00,SocioPoliticalW,"overheard headlines tomorrow in times
indian pm conducted pressconference  after  years without answering any questions

modi bjp rahulgandhi 
loksabhaelections",neg
92,2019-05-17 15:42:53+00:00,Deepspeaks_,"finally election  campaign  has come to an end 

winners 

election  commission 

ruling pm party  nda  talked about report card vision  development  less opposition 

loosers 

royal gandhi  upa  only  agenda modi hatao 

loksabhaelections",pos
93,2019-05-17 15:40:48+00:00,MServe2grow,"modi is not too big to hit

but too big to miss  

period

narendramodi amitshah rahulgandhi priyankagandhi jmscindia sachinpilot 

rahulgandhi pressmeet presidentkovind modiobsession elections electioncommission electionnewstrack bengalburning rss",neg
94,2019-05-17 15:32:48+00:00,umakantsingh_IN,bjp notcross evencongresscertainly bjpget absolute majority in all exit pollsthey modi or rahul mediathought these media do what duetheir dishonestybut they too honestaspart of bjpcongressnot medialoksabhaelections modionbharat pressmeet pressconference,neg
95,2019-05-17 15:19:35+00:00,arunjitmanna,amitshah mahatma gandhi and vidyasagars statue damage would be very costly india decides this loksabhaelections if you are truly serious remove those candidates to prevent further damage in th phase sir suggestion from a normal citizen india decides this loksabhaelections,neg
96,2019-05-17 15:04:39+00:00,deepanshah13,"rahulgandhi so you watched press meet of bjpindia
but you did not observe one thing
its press meet of bjp so questions will be answered by the party president amit shah not by narendramodi

you will never understand this

indiafirst",neg
97,2019-05-17 14:52:13+00:00,nallaganesh,"theskindoctor gandhi godse  oooph  i dont even remember the days when i used featurephone nokia   do you 

loksabhaelections",neg
98,2019-05-17 14:32:24+00:00,manishbpl1,"modihaitohgodsehai modifloppressconference 

pressconference

hosted by bjp

headed by amitshah 

attended by media and also narendramodi  narendramodi amitshah rahulgandhi incindia bjpindia bainjal shatrugansinha yadavtejashwi omarabdullah bjpindia",pos
99,2019-05-17 14:18:43+00:00,ojhaanjali,meanwhile while bjp distanced itself from pragya thakurs statement on gandhi and pm condemned it bjp president amitshah said they dont regret giving her a ticket called it a satyagraha against the theory of hinduterror,neg
100,2019-05-17 13:38:11+00:00,sushrut_oza,"rahul gave  answers in press conference
modi gave  answers in press conference 
media talking about modis silence n no one talking about rahuls answers
pressmeet narendramodi pressconference loksabhaelections",neg
101,2019-05-17 13:31:22+00:00,agneeesh,i am personally happy that rahul ji has to stop lying now but scindia is enjoying loksabhaelections,pos
102,2019-05-17 13:31:10+00:00,SandipGhose,indianpolitics incindia rahulgandhi please read my tl right now listening to rahulgandhis press conference and keep count of how many times he took narendramodis name think thats why modi didnt need to speak as rahul gandhi did all the talking for him touche modipressconference,pos
103,2019-05-17 13:23:55+00:00,chetan_chh,"rahulgandhi we used to make such funny correlations when we were kids strange you are contending for the prime ministers post you need to grow up and cut alltime baseless antimodi sarcasm if you want people to take u seriously
pmo narendramodi",neg
104,2019-05-17 13:15:04+00:00,trilokchandanik,racr rahulgandhi ok then on pappus press conference on behalf of bjp same nationalist people r ask que to pappu r you ready for that mr pappu,neg
105,2019-05-17 13:12:14+00:00,sanjayg_01,indiatoday rahulgandhi it takes great courage to face the pressconference even so more than  belong to dalalmedia one wrong answer and building of cards crash you were right rahulgandhi modi is coward,neg
106,2019-05-17 13:08:38+00:00,vivekchoubey19,"i finally got it the bjp and the rss

are not godke lovers

they are godse lovers
rahulgandhi 
keshavyadaviyc anandmanjeet drmadanmohanjha rahulgandhi iyc incindia srinivasiyc shaktisinhgohil shatrugansinha allavaru iyrajesh deepakkhatri gunjn amitabhushan",pos
107,2019-05-17 13:03:06+00:00,gowri_gowd,"great relief to indians because election canvassing came to an end 

ofcourse last phase of polling is on  

the greatest truth revealed in campaigning is bjp or modi carry lord shri ram on their lips and nathuram in their heart rest we know
incindia 
rahulgandhi",pos
108,2019-05-17 13:01:23+00:00,ravirao83,indiatoday rahulgandhi give rahul credit for a hard campaign to ensure congressmuktbharat  time for a nice vacation loksabhaelections,pos
109,2019-05-17 12:57:14+00:00,05Srikkanth,"what we need during engineering viva a friend like amit shah

what we get a friend like rahul gandhi

pressconference modi loksabhaelections",pos
110,2019-05-17 12:57:09+00:00,Awhadspeaks,"rahulgandhi salute rahulgandhi 
u fought like a warrior respecting the values of democracy 
u enjoyed every bit of campaign never got into the trap of modi because bjp was not to b seen",pos
111,2019-05-17 12:55:03+00:00,SocioPoliticalW,"a new word in the field of journalism
pressdarshan an event where journalist will be invited to show darshan the body of a living person amp not to be allowed to ask any direct question to that person 
pressconference modi amitshah rahulgandhi 
loksabhaelections",pos
112,2019-05-17 12:52:11+00:00,Sureshc91120456,"rahulgandhi next prime minister of india rahul gandhi
inc",pos
113,2019-05-17 12:49:51+00:00,indiclogic,rahulgandhi the question is why is rahulgandhi so pressed by the modi conference ,neg
114,2019-05-17 12:40:24+00:00,Satyapriya111,"in comparison to rahulgandhi interview vs narendramodi scripted farzi interviews rahulgandhi is far better bold confident real than modi who seems weak frightened to face good reporters
modi is real pappu so called pappu is upcoming hero
congrats to rahul",pos
115,2019-05-17 12:33:37+00:00,Vyomnaut,in bjps press conference narendramodi and amitshah ji were talking about how they will take the country forward in congresss press conference rahulgandhi  was just trying to do mimicry of modi ji difference,neg
116,2019-05-17 12:30:55+00:00,sivagirisamy,"rahulgandhi there is real  progress from rahulgandhi but  narendramodi 
incindia bjpindia modi rahulgandhi hraja bjptn drtamilisaibjp",pos
117,2019-05-17 12:22:32+00:00,RangamT,"rahulgandhi in his pc just said that he was going to send his  journalists to narendramodi jis amp amitshah pc at bjp hq but found the door was closed so it means he has those journalists working like his puppets amp writting fake stories
loksabhaelections",neg
118,2019-05-17 12:06:10+00:00,nirmalansun,kamalhaasan bjp congress mnm what kamal started  but bjp showing their original face  either they are not able to say god sent is bad and gandhi is not good  modi is just saying word against pragya but no one action  this is real bjp aka rss modihaitohgodsehai,neg
119,2019-05-17 12:00:55+00:00,bankasaurabh,"modionbharat  shit  that is the only word for so called press conference of pm 

he not even took a single question 

rahulgandhi said correctly that modi can do only scripted interviews not press conference

loksabhaelections modi",neg
120,2019-05-17 11:58:08+00:00,vikasmishraa,modi is falling in trap of rahul gandhi first started giving interviews at rallies following rg now attending a st pc in years without taking any questions from media loksabhaelections,neg
121,2019-05-17 11:58:01+00:00,Milan_reports,while rahulgandhi takes candid questions at his last pc  excited reporters at bjp got no qampa with narendramodi  loksabhaelections,neg
122,2019-05-17 11:56:52+00:00,kiran_m_kumar,"jhasanjay sheebav mahatma gandhi is already gone we have narendramodi with us now we are not ready to losing modi ji thousands of modi can come but nobody can replace our narendramodi the one and only primeminister who made india proud
modi ji will not apologize anyone",pos
123,2019-05-17 11:37:15+00:00,chatteejees,"ani truth rahul gandhi and congress 
joke of the loksabhaelections ",neg
124,2019-05-17 11:31:37+00:00,HD_07,"talk about hypocrisy

modi condemns sadhvi pragyas statements about sadhvi pragya when he has been rambling about rajiv gandhi in the last fortnight

both equally poor and leave a bad taste in the mouth 

elections loksabhaelections",neg
125,2019-05-17 11:30:56+00:00,ShaktiShekhar,first bjp chief amit shah amp now pm narendra modi addressing press conference in party hqs simultaneously with congress president rahul gandhi who is talking to the media persons in congress headquarters as campaigning for loksabhaelections comes to an end before th phase,neg
126,2019-05-17 11:29:26+00:00,jyoti_kothari,"amitshah has given details of election campaign now narendramodi is addressing bjp press conference
rahulgandhi is also adressing congress press conference",neg
