state,year,candidate,party,votes
Manipur,2019,Pallavi Sharma,SP,401273
Gujarat,2024,Ramesh Gowda,Independent,93982
Jharkhand,2019,Anita Menon,SP,112818
Jharkhand,2019,Suresh Patel,SP,160247
West Bengal,2019,Ramesh Gowda,AITC,214669
Telangana,2024,Alok Verma,INC,289362
Haryana,2014,Manoj Singh,INC,394989
Jharkhand,2019,Rajiv Das,Independent,370870
Tamil Nadu,2024,Neha Kulkarni,AITC,296998
West Bengal,2014,Karthik Reddy,BJP,657521
Gujarat,2024,Vikram Gupta,BJP,161408
Uttar Pradesh,2014,Suresh Patel,BJP,627760
Haryana,2024,Neha Kulkarni,Independent,350909
Odisha,2014,Prakash Yadav,SP,471722
Sikkim,2024,Pallavi Sharma,AITC,103760
Uttarakhand,2014,Anita Menon,AITC,675540
Uttarakhand,2014,Anita Menon,BJP,117076
Uttar Pradesh,2019,Rajiv Das,Independent,345929
Rajasthan,2019,Rajiv Das,Independent,333188
Karnataka,2024,Vikram Gupta,Independent,459136
West Bengal,2019,Neha Kulkarni,Independent,620035
Sikkim,2014,Prakash Yadav,BJP,249502
Karnataka,2014,Prakash Yadav,Independent,612727
Mizoram,2024,Meena Chopra,SP,630447
Goa,2024,Pooja Desai,INC,432418
Chhattisgarh,2019,Neha Kulkarni,BJP,295096
West Bengal,2014,Rajesh Nair,AITC,318188
Jharkhand,2024,Karthik Reddy,INC,310822
Assam,2014,Kiran Rao,SP,126566
Punjab,2014,Prakash Yadav,AITC,366060
Meghalaya,2019,Ramesh Gowda,INC,125062
Rajasthan,2014,Ramesh Gowda,AITC,529430
Telangana,2024,Sonal Tiwari,Independent,252336
Odisha,2019,Manoj Singh,INC,578572
Uttarakhand,2019,Karthik Reddy,SP,629533
Karnataka,2019,Neha Kulkarni,Independent,63748
Rajasthan,2019,Sonal Tiwari,SP,614052
Bihar,2014,Neha Kulkarni,BJP,282559
Nagaland,2024,Manoj Singh,BJP,607359
Arunachal Pradesh,2014,Ramesh Gowda,INC,79867
Meghalaya,2019,Manoj Singh,Independent,269083
Jharkhand,2014,Prakash Yadav,Independent,696948
Maharashtra,2014,Suresh Patel,SP,53668
Arunachal Pradesh,2014,Manoj Singh,AITC,616385
Tripura,2024,Neha Kulkarni,AITC,679337
Odisha,2014,Vinod Joshi,AITC,317045
Punjab,2014,Rajesh Nair,INC,201256
Meghalaya,2019,Alok Verma,SP,74042
Assam,2014,Pooja Desai,AITC,354137
Uttarakhand,2024,Simran Kaur,AITC,382456
Uttar Pradesh,2014,Kiran Rao,BJP,138747
Assam,2014,Suresh Patel,AITC,412914
Uttar Pradesh,2014,Ramesh Gowda,INC,307637
West Bengal,2014,Kiran Rao,SP,81295
Punjab,2014,Suresh Patel,INC,652494
Tamil Nadu,2019,Kiran Rao,AITC,369661
Punjab,2019,Karthik Reddy,Independent,452203
Kerala,2024,Kiran Rao,SP,105106
Karnataka,2019,Pallavi Sharma,SP,532553
Andhra Pradesh,2014,Vinod Joshi,Independent,61549
Arunachal Pradesh,2019,Pooja Desai,BJP,564122
Arunachal Pradesh,2019,Pooja Desai,BJP,274131
Kerala,2014,Suresh Patel,INC,228107
Karnataka,2019,Deepak Chawla,Independent,122460
Uttarakhand,2019,Meena Chopra,SP,670967
Haryana,2014,Suresh Patel,AITC,264821
Uttar Pradesh,2014,Ramesh Gowda,Independent,500182
Madhya Pradesh,2019,Vinod Joshi,INC,519636
Haryana,2024,Amit Sharma,AITC,534556
Gujarat,2019,Alok Verma,Independent,442885
Manipur,2024,Vinod Joshi,BJP,304473
West Bengal,2014,Rajesh Nair,SP,646990
Haryana,2019,Kiran Rao,BJP,245512
Odisha,2019,Neha Kulkarni,AITC,494032
Maharashtra,2019,Neha Kulkarni,AITC,193315
Madhya Pradesh,2014,Pallavi Sharma,BJP,288169
Tripura,2024,Amit Sharma,AITC,283184
Arunachal Pradesh,2014,Ramesh Gowda,SP,357165
Manipur,2024,Ramesh Gowda,AITC,408329
Telangana,2024,Neha Kulkarni,Independent,285716
Uttarakhand,2024,Meena Chopra,AITC,601794
Meghalaya,2014,Amit Sharma,BJP,67416
Delhi,2019,Kiran Rao,SP,638204
Madhya Pradesh,2019,Simran Kaur,Independent,459268
Assam,2024,Meena Chopra,Independent,86668
Karnataka,2024,Amit Sharma,AITC,540619
Andhra Pradesh,2024,Alok Verma,AITC,676423
Manipur,2024,Prakash Yadav,AITC,465612
Madhya Pradesh,2019,Simran Kaur,AITC,383182
Kerala,2024,Pallavi Sharma,Independent,152185
Bihar,2019,Suresh Patel,BJP,578733
Maharashtra,2014,Manoj Singh,INC,554968
Madhya Pradesh,2014,Vinod Joshi,AITC,275498
Odisha,2014,Pallavi Sharma,BJP,294465
Punjab,2019,Amit Sharma,AITC,121435
Tamil Nadu,2024,Sonal Tiwari,Independent,98657
Uttarakhand,2024,Amit Sharma,AITC,69307
Gujarat,2014,Prakash Yadav,SP,591255
Uttar Pradesh,2014,Rajesh Nair,AITC,561571
Haryana,2014,Kiran Rao,SP,691507
Assam,2024,Amit Sharma,AITC,397200
Telangana,2024,Manoj Singh,INC,295544
Punjab,2019,Prakash Yadav,Independent,164069
West Bengal,2019,Vikram Gupta,BJP,589583
Andhra Pradesh,2014,Rajesh Nair,BJP,281481
Gujarat,2014,Alok Verma,INC,591868
Andhra Pradesh,2019,Neha Kulkarni,BJP,274242
Mizoram,2014,Pooja Desai,Independent,416758
Gujarat,2024,Sonal Tiwari,SP,529407
Arunachal Pradesh,2019,Ramesh Gowda,SP,540178
Tripura,2014,Kiran Rao,SP,669827
Arunachal Pradesh,2014,Rajiv Das,Independent,586066
Delhi,2019,Pooja Desai,SP,627056
Assam,2024,Alok Verma,BJP,96499
Kerala,2019,Deepak Chawla,Independent,229077
Gujarat,2019,Rajesh Nair,SP,495059
Andhra Pradesh,2014,Rajesh Nair,AITC,442085
Arunachal Pradesh,2024,Manoj Singh,INC,98731
Gujarat,2024,Kiran Rao,Independent,381544
Arunachal Pradesh,2014,Prakash Yadav,BJP,641432
Haryana,2014,Suresh Patel,SP,518905
Karnataka,2024,Manoj Singh,AITC,591943
Jharkhand,2014,Prakash Yadav,INC,332693
Himachal Pradesh,2019,Sonal Tiwari,SP,298445
Haryana,2014,Suresh Patel,AITC,557678
Himachal Pradesh,2014,Prakash Yadav,INC,52826
Punjab,2019,Neha Kulkarni,INC,483786
Punjab,2014,Neha Kulkarni,AITC,695703
Meghalaya,2024,Vikram Gupta,SP,672386
Delhi,2019,Deepak Chawla,SP,537244
Arunachal Pradesh,2019,Manoj Singh,SP,212164
Delhi,2024,Manoj Singh,BJP,451502
Sikkim,2019,Rajiv Das,INC,266447
Gujarat,2014,Karthik Reddy,BJP,98356
Jharkhand,2024,Anita Menon,AITC,304866
Telangana,2019,Amit Sharma,INC,431353
Delhi,2014,Neha Kulkarni,INC,633842
Mizoram,2019,Deepak Chawla,INC,674525
Delhi,2019,Vinod Joshi,SP,571468
Karnataka,2019,Karthik Reddy,AITC,545882
Jharkhand,2014,Simran Kaur,INC,127324
Rajasthan,2014,Alok Verma,Independent,270544
Kerala,2019,Suresh Patel,SP,175453
Tripura,2019,Pallavi Sharma,Independent,219386
Odisha,2019,Karthik Reddy,BJP,614025
West Bengal,2014,Anita Menon,INC,612099
Kerala,2019,Pallavi Sharma,BJP,668736
Bihar,2014,Rajiv Das,SP,155409
Nagaland,2014,Sonal Tiwari,Independent,665739
Goa,2024,Manoj Singh,INC,507072
Himachal Pradesh,2014,Kiran Rao,BJP,512629
Uttar Pradesh,2014,Prakash Yadav,SP,201363
Tripura,2019,Manoj Singh,Independent,679761
Telangana,2019,Vikram Gupta,AITC,356008
Mizoram,2024,Simran Kaur,INC,229062
Himachal Pradesh,2014,Deepak Chawla,AITC,102662
Nagaland,2024,Neha Kulkarni,AITC,159879
Delhi,2019,Prakash Yadav,Independent,292937
Nagaland,2024,Rajiv Das,AITC,254695
Nagaland,2014,Ramesh Gowda,INC,154114
Himachal Pradesh,2019,Rajesh Nair,SP,304117
Arunachal Pradesh,2019,Anita Menon,INC,119346
Assam,2019,Karthik Reddy,INC,606330
Assam,2019,Meena Chopra,Independent,546823
Meghalaya,2019,Neha Kulkarni,INC,117120
Goa,2019,Karthik Reddy,AITC,358125
West Bengal,2014,Pooja Desai,BJP,518467
Sikkim,2019,Anita Menon,BJP,52720
Uttarakhand,2014,Ramesh Gowda,Independent,88590
Manipur,2024,Suresh Patel,SP,247090
Kerala,2014,Ramesh Gowda,AITC,457489
Tamil Nadu,2014,Pooja Desai,AITC,583395
Goa,2019,Sonal Tiwari,AITC,129830
Andhra Pradesh,2019,Vikram Gupta,BJP,253760
West Bengal,2019,Suresh Patel,INC,430586
Jharkhand,2014,Neha Kulkarni,INC,239963
Meghalaya,2019,Rajesh Nair,INC,626995
Uttarakhand,2024,Rajesh Nair,SP,501037
West Bengal,2019,Kiran Rao,SP,193795
Maharashtra,2024,Deepak Chawla,BJP,191783
Haryana,2019,Ramesh Gowda,BJP,261039
Karnataka,2019,Ramesh Gowda,AITC,253961
Arunachal Pradesh,2024,Deepak Chawla,AITC,444747
Odisha,2019,Vinod Joshi,INC,558257
Karnataka,2014,Pallavi Sharma,BJP,267996
Chhattisgarh,2014,Pooja Desai,Independent,91720
Nagaland,2024,Rajiv Das,Independent,462531
Bihar,2014,Simran Kaur,Independent,176940
Arunachal Pradesh,2024,Rajesh Nair,SP,316631
Delhi,2024,Manoj Singh,Independent,557588
Punjab,2014,Simran Kaur,SP,641431
Tripura,2019,Vinod Joshi,AITC,58059
Gujarat,2024,Ramesh Gowda,SP,448862
Goa,2024,Kiran Rao,Independent,92785
Punjab,2019,Manoj Singh,AITC,141294
Uttarakhand,2024,Alok Verma,INC,207695
Andhra Pradesh,2019,Pallavi Sharma,INC,145105
Manipur,2024,Suresh Patel,SP,303118
Karnataka,2024,Kiran Rao,SP,159693
Goa,2019,Sonal Tiwari,AITC,326140
Manipur,2024,Alok Verma,AITC,600940
Madhya Pradesh,2014,Pallavi Sharma,BJP,316942
Mizoram,2014,Manoj Singh,SP,267514
Uttar Pradesh,2014,Amit Sharma,AITC,522127
Rajasthan,2024,Anita Menon,Independent,251324
Gujarat,2014,Amit Sharma,SP,661406
Telangana,2024,Rajesh Nair,Independent,513448
Delhi,2019,Pallavi Sharma,INC,584822
Telangana,2024,Anita Menon,AITC,178399
Haryana,2014,Rajiv Das,AITC,89451
Tripura,2014,Vikram Gupta,Independent,223410
Haryana,2019,Kiran Rao,AITC,516471
Assam,2024,Karthik Reddy,BJP,638215
Tripura,2024,Suresh Patel,AITC,202261
Meghalaya,2019,Deepak Chawla,Independent,241800
Gujarat,2019,Pallavi Sharma,AITC,398107
Tamil Nadu,2024,Alok Verma,BJP,214328
Chhattisgarh,2014,Meena Chopra,INC,307923
Karnataka,2024,Meena Chopra,BJP,337017
Manipur,2024,Karthik Reddy,BJP,74405
Himachal Pradesh,2019,Neha Kulkarni,INC,511799
Meghalaya,2019,Pallavi Sharma,Independent,337112
Manipur,2019,Ramesh Gowda,Independent,520440
Nagaland,2024,Amit Sharma,SP,320637
West Bengal,2024,Meena Chopra,AITC,508303
Manipur,2014,Meena Chopra,SP,646932
Uttarakhand,2019,Suresh Patel,BJP,427775
Sikkim,2024,Meena Chopra,Independent,276492
Kerala,2014,Kiran Rao,BJP,136597
Andhra Pradesh,2019,Pallavi Sharma,BJP,604208
Assam,2024,Pallavi Sharma,AITC,322958
Haryana,2019,Simran Kaur,INC,621232
Kerala,2024,Rajiv Das,SP,321468
Nagaland,2019,Karthik Reddy,AITC,94691
Meghalaya,2024,Alok Verma,SP,481999
Punjab,2019,Deepak Chawla,Independent,160392
Tripura,2024,Pallavi Sharma,Independent,150107
Gujarat,2019,Sonal Tiwari,SP,580805
West Bengal,2024,Pooja Desai,AITC,147952
Mizoram,2014,Amit Sharma,Independent,551569
Mizoram,2024,Simran Kaur,SP,191891
Haryana,2024,Manoj Singh,INC,190544
Madhya Pradesh,2024,Prakash Yadav,AITC,348335
Chhattisgarh,2014,Kiran Rao,Independent,450174
Odisha,2014,Anita Menon,INC,306550
Assam,2019,Deepak Chawla,SP,204675
Himachal Pradesh,2014,Alok Verma,Independent,547778
Tamil Nadu,2014,Simran Kaur,AITC,595959
Uttarakhand,2014,Amit Sharma,INC,585617
Jharkhand,2019,Sonal Tiwari,AITC,390467
Punjab,2019,Karthik Reddy,INC,585314
Meghalaya,2019,Alok Verma,SP,626639
Meghalaya,2024,Amit Sharma,INC,645527
Himachal Pradesh,2024,Prakash Yadav,INC,365989
Arunachal Pradesh,2019,Prakash Yadav,INC,50831
Nagaland,2019,Sonal Tiwari,SP,633981
Gujarat,2014,Vikram Gupta,BJP,580899
Assam,2019,Karthik Reddy,BJP,52629
Nagaland,2019,Sonal Tiwari,BJP,196856
Chhattisgarh,2014,Vinod Joshi,Independent,196031
Arunachal Pradesh,2019,Kiran Rao,SP,159510
Punjab,2014,Meena Chopra,INC,498786
Andhra Pradesh,2019,Vikram Gupta,Independent,434452
Goa,2024,Alok Verma,INC,299347
Uttar Pradesh,2019,Ramesh Gowda,AITC,206430
Chhattisgarh,2019,Neha Kulkarni,BJP,317248
Gujarat,2024,Pallavi Sharma,SP,175300
Rajasthan,2024,Amit Sharma,Independent,548653
Sikkim,2024,Sonal Tiwari,AITC,420733
West Bengal,2014,Sonal Tiwari,INC,270306
Tripura,2019,Vikram Gupta,SP,495918
Karnataka,2014,Pallavi Sharma,Independent,517950
Meghalaya,2019,Alok Verma,SP,187576
Tamil Nadu,2014,Sonal Tiwari,SP,539137
Uttar Pradesh,2019,Pallavi Sharma,BJP,621449
Kerala,2024,Ramesh Gowda,SP,129291
Andhra Pradesh,2019,Deepak Chawla,SP,193558
West Bengal,2019,Rajiv Das,SP,474006
Jharkhand,2019,Ramesh Gowda,SP,360393
Maharashtra,2019,Suresh Patel,INC,399582
Maharashtra,2024,Rajesh Nair,AITC,483479
Madhya Pradesh,2024,Vinod Joshi,INC,494951
Goa,2024,Neha Kulkarni,BJP,668620
Nagaland,2019,Rajiv Das,BJP,634814
Jharkhand,2019,Meena Chopra,INC,219452
Punjab,2014,Alok Verma,AITC,155286
Madhya Pradesh,2019,Suresh Patel,BJP,167638
Delhi,2014,Sonal Tiwari,INC,619895
Delhi,2014,Alok Verma,SP,528118
Madhya Pradesh,2019,Manoj Singh,AITC,464701
Delhi,2024,Manoj Singh,Independent,104681
Bihar,2019,Manoj Singh,Independent,469961
Manipur,2024,Pooja Desai,Independent,683599
Uttarakhand,2014,Manoj Singh,BJP,114213
Manipur,2019,Rajesh Nair,BJP,492926
Sikkim,2019,Alok Verma,INC,601774
Karnataka,2019,Simran Kaur,AITC,236474
Manipur,2014,Deepak Chawla,SP,519761
Meghalaya,2014,Alok Verma,SP,627393
Haryana,2014,Pooja Desai,INC,568523
Manipur,2014,Anita Menon,AITC,370619
Tamil Nadu,2024,Prakash Yadav,BJP,334377
Madhya Pradesh,2019,Anita Menon,AITC,148800
Jharkhand,2014,Pooja Desai,Independent,331006
Manipur,2019,Meena Chopra,INC,626966
Haryana,2024,Alok Verma,AITC,128413
Andhra Pradesh,2019,Neha Kulkarni,Independent,117819
West Bengal,2014,Meena Chopra,Independent,419124
Uttarakhand,2019,Rajesh Nair,SP,308531
Uttarakhand,2014,Pooja Desai,INC,438506
West Bengal,2024,Anita Menon,Independent,78113
Uttarakhand,2024,Amit Sharma,Independent,563581
Manipur,2019,Rajesh Nair,INC,308274
Arunachal Pradesh,2019,Suresh Patel,Independent,518519
Arunachal Pradesh,2024,Prakash Yadav,BJP,556615
Jharkhand,2024,Suresh Patel,BJP,56739
Rajasthan,2019,Neha Kulkarni,AITC,682852
Bihar,2019,Neha Kulkarni,INC,602012
Himachal Pradesh,2024,Kiran Rao,AITC,351045
Telangana,2019,Kiran Rao,BJP,603744
Uttar Pradesh,2024,Deepak Chawla,AITC,581921
West Bengal,2019,Pallavi Sharma,Independent,473027
Madhya Pradesh,2014,Meena Chopra,INC,491854
Himachal Pradesh,2014,Pooja Desai,SP,649837
Rajasthan,2024,Pooja Desai,BJP,646805
Tamil Nadu,2019,Amit Sharma,BJP,58249
Jharkhand,2014,Rajesh Nair,SP,80476
Karnataka,2019,Deepak Chawla,INC,420674
Bihar,2024,Pooja Desai,BJP,114557
Odisha,2019,Manoj Singh,INC,527615
Jharkhand,2019,Anita Menon,AITC,68146
Assam,2024,Amit Sharma,SP,198267
Tamil Nadu,2024,Neha Kulkarni,BJP,288804
Madhya Pradesh,2024,Manoj Singh,INC,545305
Tripura,2014,Kiran Rao,AITC,364966
Assam,2019,Sonal Tiwari,AITC,331113
Uttar Pradesh,2014,Pallavi Sharma,INC,227665
Punjab,2019,Kiran Rao,BJP,406198
Manipur,2024,Prakash Yadav,SP,284286
Punjab,2019,Deepak Chawla,BJP,230467
Sikkim,2024,Manoj Singh,AITC,273384
Arunachal Pradesh,2024,Sonal Tiwari,Independent,133987
Kerala,2019,Meena Chopra,BJP,493333
Odisha,2024,Meena Chopra,AITC,199845
Chhattisgarh,2024,Rajiv Das,SP,142488
Goa,2019,Amit Sharma,Independent,416570
Chhattisgarh,2019,Sonal Tiwari,INC,169925
Telangana,2014,Ramesh Gowda,AITC,482530
Nagaland,2019,Rajesh Nair,Independent,518757
Nagaland,2024,Suresh Patel,Independent,314572
Madhya Pradesh,2024,Pallavi Sharma,BJP,102039
Kerala,2019,Vikram Gupta,BJP,528613
Odisha,2024,Suresh Patel,BJP,143428
Maharashtra,2019,Pallavi Sharma,Independent,142330
Uttarakhand,2014,Simran Kaur,SP,619390
Manipur,2019,Amit Sharma,Independent,210477
Tamil Nadu,2024,Anita Menon,INC,664182
Punjab,2024,Kiran Rao,BJP,696270
Bihar,2024,Manoj Singh,AITC,59663
Telangana,2019,Kiran Rao,INC,656946
Andhra Pradesh,2024,Suresh Patel,AITC,173838
Chhattisgarh,2024,Simran Kaur,AITC,550838
Chhattisgarh,2019,Kiran Rao,INC,437665
Manipur,2014,Deepak Chawla,SP,51941
Assam,2024,Prakash Yadav,BJP,605853
Jharkhand,2019,Pooja Desai,Independent,627922
Bihar,2024,Prakash Yadav,AITC,235306
Uttarakhand,2024,Manoj Singh,BJP,205900
Uttarakhand,2024,Amit Sharma,INC,135469
Arunachal Pradesh,2019,Prakash Yadav,AITC,417685
Karnataka,2019,Manoj Singh,BJP,605820
Meghalaya,2019,Pallavi Sharma,SP,647024
Tripura,2014,Simran Kaur,Independent,606300
Mizoram,2019,Vinod Joshi,Independent,578830
Nagaland,2024,Suresh Patel,BJP,261004
Bihar,2019,Kiran Rao,INC,483558
West Bengal,2019,Kiran Rao,Independent,556774
Madhya Pradesh,2024,Karthik Reddy,AITC,694999
Bihar,2014,Ramesh Gowda,Independent,607607
Kerala,2024,Simran Kaur,AITC,117452
Tamil Nadu,2014,Kiran Rao,BJP,272275
Rajasthan,2014,Karthik Reddy,BJP,282620
Maharashtra,2014,Pallavi Sharma,AITC,557544
Sikkim,2019,Simran Kaur,Independent,332495
Manipur,2014,Prakash Yadav,SP,525410
Karnataka,2019,Deepak Chawla,Independent,474748
Andhra Pradesh,2014,Vikram Gupta,AITC,290054
Goa,2019,Anita Menon,BJP,106947
Andhra Pradesh,2024,Kiran Rao,BJP,197393
Mizoram,2019,Vikram Gupta,INC,126449
Assam,2019,Manoj Singh,INC,252307
Uttar Pradesh,2014,Ramesh Gowda,SP,283232
West Bengal,2024,Meena Chopra,INC,239596
Telangana,2019,Neha Kulkarni,BJP,631126
Rajasthan,2019,Vinod Joshi,INC,628085
Goa,2014,Deepak Chawla,INC,351071
Chhattisgarh,2024,Anita Menon,SP,331903
Tamil Nadu,2014,Neha Kulkarni,Independent,341133
Assam,2024,Prakash Yadav,SP,370598
Punjab,2024,Meena Chopra,SP,555760
Gujarat,2014,Sonal Tiwari,Independent,475576
Uttar Pradesh,2019,Kiran Rao,SP,113220
Maharashtra,2014,Prakash Yadav,Independent,512936
Telangana,2024,Deepak Chawla,Independent,515374
Nagaland,2014,Ramesh Gowda,BJP,119747
Maharashtra,2024,Kiran Rao,SP,423483
Assam,2019,Pallavi Sharma,SP,278004
Madhya Pradesh,2019,Ramesh Gowda,SP,621813
Mizoram,2024,Rajesh Nair,Independent,56604
Gujarat,2014,Ramesh Gowda,BJP,52490
Karnataka,2019,Vinod Joshi,BJP,525480
Gujarat,2014,Manoj Singh,BJP,462671
Kerala,2014,Alok Verma,INC,605623
Sikkim,2019,Prakash Yadav,SP,269817
Odisha,2014,Amit Sharma,AITC,436203
Kerala,2014,Manoj Singh,Independent,295674
Goa,2019,Suresh Patel,Independent,613910
Gujarat,2024,Amit Sharma,AITC,470724
Karnataka,2014,Prakash Yadav,BJP,389082
Sikkim,2019,Sonal Tiwari,INC,640870
Sikkim,2014,Rajiv Das,BJP,643008
Kerala,2024,Rajiv Das,BJP,277804
Karnataka,2024,Sonal Tiwari,INC,95445
Manipur,2014,Amit Sharma,Independent,493690
Assam,2024,Neha Kulkarni,SP,500333
Gujarat,2014,Manoj Singh,SP,689468
West Bengal,2024,Suresh Patel,Independent,637132
Chhattisgarh,2014,Kiran Rao,INC,117509
Maharashtra,2019,Ramesh Gowda,BJP,126491
Kerala,2024,Suresh Patel,BJP,632983
Manipur,2019,Deepak Chawla,INC,186349
Jharkhand,2019,Sonal Tiwari,BJP,673338
Andhra Pradesh,2019,Suresh Patel,AITC,632163
Delhi,2024,Kiran Rao,Independent,693135
West Bengal,2024,Meena Chopra,AITC,550620
Delhi,2019,Pooja Desai,BJP,660952
Haryana,2014,Kiran Rao,Independent,523017
Goa,2019,Rajiv Das,BJP,521044
Andhra Pradesh,2024,Meena Chopra,BJP,291003
Punjab,2024,Alok Verma,BJP,583781
Punjab,2014,Meena Chopra,INC,415867
Gujarat,2024,Prakash Yadav,Independent,157092
Sikkim,2024,Suresh Patel,Independent,104174
West Bengal,2024,Sonal Tiwari,BJP,588861
Delhi,2019,Pooja Desai,SP,70880
Haryana,2014,Anita Menon,INC,215931
Bihar,2024,Vikram Gupta,AITC,165459
Meghalaya,2019,Rajesh Nair,SP,125186
Mizoram,2014,Suresh Patel,BJP,225669
Arunachal Pradesh,2019,Vikram Gupta,AITC,392767
Delhi,2024,Pooja Desai,AITC,312458
Uttarakhand,2014,Manoj Singh,INC,561929
Uttar Pradesh,2024,Manoj Singh,INC,266065
Tamil Nadu,2019,Vikram Gupta,AITC,591070
Nagaland,2024,Sonal Tiwari,BJP,428237
Rajasthan,2024,Suresh Patel,AITC,178430
Meghalaya,2014,Karthik Reddy,Independent,210885
Karnataka,2019,Neha Kulkarni,Independent,561148
Goa,2014,Pooja Desai,SP,375299
Delhi,2024,Kiran Rao,BJP,469495
Kerala,2014,Kiran Rao,Independent,339625
Uttar Pradesh,2024,Anita Menon,Independent,367733
Punjab,2014,Suresh Patel,BJP,456383
Gujarat,2019,Prakash Yadav,BJP,650559
Delhi,2024,Amit Sharma,AITC,687066
Arunachal Pradesh,2014,Neha Kulkarni,SP,581430
Punjab,2019,Kiran Rao,SP,138608
Jharkhand,2019,Rajesh Nair,BJP,551106
Andhra Pradesh,2019,Sonal Tiwari,INC,184469
Uttarakhand,2024,Pooja Desai,INC,260521
Meghalaya,2024,Deepak Chawla,INC,350772
Uttarakhand,2014,Rajiv Das,Independent,70985
Odisha,2024,Pallavi Sharma,AITC,431338
Tamil Nadu,2019,Pallavi Sharma,SP,546394
Tamil Nadu,2019,Anita Menon,BJP,677855
Chhattisgarh,2024,Simran Kaur,Independent,92120
Maharashtra,2024,Anita Menon,SP,316313
Maharashtra,2024,Meena Chopra,INC,404593
Chhattisgarh,2014,Vinod Joshi,AITC,211632
Telangana,2014,Pallavi Sharma,BJP,214897
Telangana,2024,Amit Sharma,BJP,559275
Kerala,2014,Vinod Joshi,Independent,371973
Odisha,2019,Vinod Joshi,AITC,336271
Bihar,2024,Meena Chopra,INC,211132
Goa,2019,Anita Menon,Independent,464527
Madhya Pradesh,2019,Manoj Singh,SP,336150
Karnataka,2019,Rajiv Das,AITC,221646
Sikkim,2019,Karthik Reddy,Independent,75179
Sikkim,2019,Anita Menon,INC,690654
Madhya Pradesh,2024,Meena Chopra,SP,108103
Assam,2024,Kiran Rao,Independent,272809
Jharkhand,2024,Pallavi Sharma,BJP,468467
Madhya Pradesh,2019,Karthik Reddy,INC,583486
Jharkhand,2019,Neha Kulkarni,Independent,570800
Haryana,2019,Meena Chopra,BJP,206348
Delhi,2019,Vikram Gupta,SP,518290
Uttar Pradesh,2024,Rajiv Das,BJP,296512
Tripura,2024,Neha Kulkarni,AITC,563747
Gujarat,2019,Kiran Rao,BJP,119435
Telangana,2014,Meena Chopra,BJP,390326
Delhi,2019,Meena Chopra,SP,221659
Haryana,2024,Manoj Singh,AITC,102125
Maharashtra,2014,Pallavi Sharma,Independent,656457
